term,mean_tfidf_After stopword removal
កម្ពុជ,0.041385047932604016
ឆ្ន,0.0346090646580831
ប្រទេស,0.032262770136148235
ដោយ,0.025970073466077204
ក្រុមហ៊ុន,0.025711901925469974
ឱ្យ,0.024178468229437252
សម្តេច,0.022836690799630705
រថយន្ត,0.022662385020604334
ចិន,0.022057056879558338
ជាមួយ,0.018018153827871947
ក្លឹប,0.017782524860369988
អាមេរិក,0.017194094420176217
ទៀត,0.01715495840639177
ថ្ម,0.01708300993644454
ក្រុម,0.016931131062543618
ថ្ងៃទ,0.016396966968101622
គណបក្ស,0.016293856268999575
នៅក្នុង,0.016218821840900212
មក,0.015479125840110505
កីឡាករ,0.014714521401387267
